14;FORMAÇÃO DE PROFESSORES E CIÊNCIAS DA EDUCAÇÃO
21;ARTES
22;HUMANIDADES E LETRAS
31;CIÊNCIAS SOCIAIS E COMPORTAMENTAIS
32;JORNALISMO E INFORMAÇÃO
34;COMÉRCIO E ADMINISTRAÇÃO
38;DIREITO
42;CIÊNCIAS DA VIDA
44;CIÊNCIAS FÍSICAS
46;MATEMÁTICA E ESTATÍSTICA
48;COMPUTAÇÃO
52;ENGENHARIA E PROFISSÕES CORRELATAS
54;PRODUÇÃO E PROCESSAMENTO
55;RECURSOS MINERAIS
58;ARQUITETURA E CONSTRUÇÃO
62;AGRICULTURA, FLORESTAS E RECURSOS PESQUEIROS
64;VETERINÁRIA
72;SAÚDE
76;SERVIÇO SOCIAL
81;SERVIÇOS PESSOAIS
84;SERVIÇOS DE TRANSPORTES
85;PROTEÇÃO AMBIENTAL
86;SERVIÇOS DE SEGURANÇA
