09:47:02= + 0s   = Conectado ao bd jdbc:postgresql://localhost:5432/:integracao_ibge
09:47:06= + 4s   = Inserindo data/adequacoes_moradias.csv
09:47:06= + 0s   = adequacoes_moradias.csv
09:47:06= + 0s   = Inseridos: 4
09:47:06= + 0s   = Inserindo data/atividades_bases.csv
09:47:06= + 0s   = atividades_bases.csv
09:47:06= + 0s   = Inseridos: 223
09:47:06= + 0s   = Inserindo data/atividades_cnae_bases.csv
09:47:06= + 0s   = atividades_cnae_bases.csv
09:47:06= + 0s   = Inseridos: 242
09:47:06= + 0s   = Inserindo data/atividades_cnae_gerais.csv
09:47:06= + 0s   = atividades_cnae_gerais.csv
09:47:06= + 0s   = Inseridos: 23
09:47:06= + 0s   = Inserindo data/atividades_cnae_principais.csv
09:47:06= + 0s   = atividades_cnae_principais.csv
09:47:06= + 0s   = Inseridos: 88
09:47:06= + 0s   = Inserindo data/atividades_gerais.csv
09:47:06= + 0s   = atividades_gerais.csv
09:47:06= + 0s   = Inseridos: 18
09:47:06= + 0s   = Inserindo data/atividades_principais.csv
09:47:06= + 0s   = atividades_principais.csv
09:47:06= + 0s   = Inseridos: 60
09:47:06= + 0s   = Inserindo data/automoveis.csv
09:47:06= + 0s   = automoveis.csv
09:47:06= + 0s   = Inseridos: 3
09:47:06= + 0s   = Inserindo data/canalizacoes_abastecimentos_aguas.csv
09:47:06= + 0s   = canalizacoes_abastecimentos_aguas.csv
09:47:06= + 0s   = Inseridos: 4
09:47:06= + 0s   = Inserindo data/celulares.csv
09:47:06= + 0s   = celulares.csv
09:47:06= + 0s   = Inseridos: 3
09:47:06= + 0s   = Inserindo data/condicoes_ocupacoes.csv
09:47:06= + 0s   = condicoes_ocupacoes.csv
09:47:06= + 0s   = Inseridos: 7
09:47:06= + 0s   = Inserindo data/cores_racas.csv
09:47:06= + 0s   = cores_racas.csv
09:47:06= + 0s   = Inseridos: 7
09:47:06= + 0s   = Inserindo data/cursos_superiores_bases.csv
09:47:06= + 0s   = cursos_superiores_bases.csv
09:47:06= + 0s   = Inseridos: 91
09:47:06= + 0s   = Inserindo data/cursos_superiores_gerais.csv
09:47:06= + 0s   = cursos_superiores_gerais.csv
09:47:06= + 0s   = Inseridos: 10
09:47:06= + 0s   = Inserindo data/cursos_superiores_principais.csv
09:47:06= + 0s   = cursos_superiores_principais.csv
09:47:06= + 0s   = Inseridos: 23
09:47:06= + 0s   = Inserindo data/destinos_lixos.csv
09:47:06= + 0s   = destinos_lixos.csv
09:47:06= + 0s   = Inseridos: 8
09:47:06= + 0s   = Inserindo data/dificuldades_permanentes_enxegar_ouvir_caminhar_subir_degrau.csv
09:47:06= + 0s   = dificuldades_permanentes_enxegar_ouvir_caminhar_subir_degrau.csv
09:47:06= + 0s   = Inseridos: 6
09:47:06= + 0s   = Inserindo data/doutorados_bases.csv
09:47:06= + 0s   = doutorados_bases.csv
09:47:07= + 1s   = Inseridos: 77
09:47:07= + 0s   = Inserindo data/doutorados_gerais.csv
09:47:07= + 0s   = doutorados_gerais.csv
09:47:07= + 0s   = Inseridos: 10
09:47:07= + 0s   = Inserindo data/doutorados_principais.csv
09:47:07= + 0s   = doutorados_principais.csv
09:47:07= + 0s   = Inseridos: 24
09:47:07= + 0s   = Inserindo data/entrevistados.csv
09:47:07= + 0s   = entrevistados.csv
09:47:07= + 0s   = Inseridos: 21
09:47:07= + 0s   = Inserindo data/esgotamentos_sanitarios.csv
09:47:07= + 0s   = esgotamentos_sanitarios.csv
09:47:07= + 0s   = Inseridos: 7
09:47:07= + 0s   = Inserindo data/especies.csv
09:47:07= + 0s   = especies.csv
09:47:07= + 0s   = Inseridos: 14
09:47:07= + 0s   = Inserindo data/especies_unidades_visitadas.csv
09:47:07= + 0s   = especies_unidades_visitadas.csv
09:47:07= + 0s   = Inseridos: 5
09:47:07= + 0s   = Inserindo data/existencias_energias_eletricas.csv
09:47:07= + 0s   = existencias_energias_eletricas.csv
09:47:07= + 0s   = Inseridos: 4
09:47:07= + 0s   = Inserindo data/falecimentos_entre_datas.csv
09:47:07= + 0s   = falecimentos_entre_datas.csv
09:47:07= + 0s   = Inseridos: 3
09:47:07= + 0s   = Inserindo data/formas_abastecimentos_aguas.csv
09:47:07= + 0s   = formas_abastecimentos_aguas.csv
09:47:07= + 0s   = Inseridos: 11
09:47:07= + 0s   = Inserindo data/formas_declarar_idades.csv
09:47:07= + 0s   = formas_declarar_idades.csv
09:47:07= + 0s   = Inseridos: 3
09:47:07= + 0s   = Inserindo data/geladeiras.csv
09:47:07= + 0s   = geladeiras.csv
09:47:07= + 0s   = Inseridos: 3
09:47:07= + 0s   = Inserindo data/maquinas_lavar_roupa.csv
09:47:07= + 0s   = maquinas_lavar_roupa.csv
09:47:07= + 0s   = Inseridos: 3
09:47:07= + 0s   = Inserindo data/marcas_imputacoes.csv
09:47:07= + 0s   = marcas_imputacoes.csv
09:47:07= + 0s   = Inseridos: 3
09:47:07= + 0s   = Inserindo data/medidores_relogios_energia.csv
09:47:07= + 0s   = medidores_relogios_energia.csv
09:47:07= + 0s   = Inseridos: 4
09:47:07= + 0s   = Inserindo data/mesorregioes.csv
09:47:07= + 0s   = mesorregioes.csv
09:47:07= + 0s   = Inseridos: 138
09:47:07= + 0s   = Inserindo data/mestrados_bases.csv
09:47:07= + 0s   = mestrados_bases.csv
09:47:07= + 0s   = Inseridos: 80
09:47:07= + 0s   = Inserindo data/mestrados_gerais.csv
09:47:07= + 0s   = mestrados_gerais.csv
09:47:07= + 0s   = Inseridos: 10
09:47:07= + 0s   = Inserindo data/mestrados_principais.csv
09:47:07= + 0s   = mestrados_principais.csv
09:47:07= + 0s   = Inseridos: 24
09:47:07= + 0s   = Inserindo data/microcomputadores.csv
09:47:07= + 0s   = microcomputadores.csv
09:47:07= + 0s   = Inseridos: 3
09:47:07= + 0s   = Inserindo data/microcomputadores_acesso_internet.csv
